Code,Description
"11054","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern (International)"
"11055","Scott Aviation, LLC  d/b/a  Silver Air (International)"
"11056","Silver Airways (International)"
"11057","Western Air Charter, Inc.  d/b/a  Jet Edge (International)"
"11058","CommuteAir LLC dba CommuteAir (International)"
"11059","CommuteAir LLC dba CommuteAir (Latin America)"
"11062","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo (Internation"
"12040","US Airways Inc. (Atlantic)"
"12041","US Airways Inc. (Latin America)"
"12120","Braniff Inc. (Latin America)"
"12680","Piedmont Aviation Inc. (Atlantic)"
"12681","Piedmont Aviation Inc. (Latin America)"
"15045","Aloha Airlines Inc. (Pacific)"
"15375","Hawaiian Airlines Inc. (Pacific)"
"16002","Aerial Transit Company (Latin America)"
"16006","Omega Air Holdings d/b/a Focus Air (International)"
"16008","Flight International (International)"
"16013","Aeron International Airlines Inc. (International)"
"16015","Air Florida Inc. (Atlantic)"
"16016","Air Florida Inc. (Latin America)"
"16018","Emery Worldwide Airlines (International)"
"16020","Airmark Corporation (International)"
"16025","Air National (International)"
"16027","Air Puerto Rico Airlines (Latin America)"
"16028","Air Transport International (Atlantic)"
"16029","Air Transport International (International)"
"16030","AirTran Airways Corporation (Latin America)"
"16031","Alaska Airlines Inc. (Latin America)"
"16034","All Star Airlines Inc. (International)"
"16038","UltrAir (International)"
"16039","Sky King Inc. (International)"
"16042","American International Airways Inc. (International)"
"16044","Aviation Concepts (International)"
